Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"MS evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific NX"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific NX"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific NX"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific NX"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific NX"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific pTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific pTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"
ENSG00000171791	BCL2	"Bcl-2, PPP1R50"	"BCL2, apoptosis regulator"	P10415	18	63123346-63320128	"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	Apoptosis		"Cancer-related genes, Disease mutation, FDA approved drug targets, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in many"		"Karpas-707: 22.3;U-266/70: 77.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	6	"gdT-cell: 2.3;MAIT T-cell: 7.6;memory B-cell: 5.2;memory CD4 T-cell: 6.3;memory CD8 T-cell: 3.8;naive B-cell: 4.1;naive CD4 T-cell: 5.1;naive CD8 T-cell: 4.5;T-reg: 6.7"	"Group enriched"	"Detected in many"	8	"B-cells: 5.2;T-cells: 7.6"	"Low region specificity"	"Detected in all"							"CAB000003, HPA055295"	Enhanced		Supported	"Nucleoplasm,Nuclear membrane"		"Nuclear membrane"	Nucleoplasm	"CAB000003: AB_2064429, HPA055295: "
ENSG00000165626	BEND7	"C10orf30, FLJ40283"	"BEN domain containing 7"	Q8N7W2	10	13438484-13528974	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell line enhanced"	"Detected in many"		"CAPAN-2: 14.6"	"Low cancer specificity"	"Detected in many"							"Cell type enriched"	"Detected in single"	12	"neutrophil: 2.7"	"Lineage enriched"	"Detected in single"	24	"granulocytes: 2.7"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA037835	Uncertain		Approved	"Nucleoplasm,Nucleoli fibrillar center,Vesicles"		"Nucleoplasm, Nucleoli fibrillar center, Vesicles"		"HPA037835: AB_10669722"
ENSG00000101144	BMP7	OP-1	"Bone morphogenetic protein 7"	P18075	20	57168748-57266629	"Predicted intracellular proteins, Predicted secreted proteins"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 37.0;thyroid gland: 44.3"	"Cell line enhanced"	"Detected in some"		"Daudi: 41.5;MCF7: 48.0;RPMI-8226: 18.4;SK-BR-3: 31.3;U-698: 56.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Cell type enriched"	"Detected in single"	13	"basophil: 2.4"	"Lineage enriched"	"Detected in single"	13	"granulocytes: 2.4"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA057757			Approved	Nucleoplasm,Nucleoli,Vesicles	"Secreted to blood"	Vesicles	"Nucleoplasm, Nucleoli"	"HPA057757: "
ENSG00000165733	BMS1	"BMS1L, KIAA0187"	"BMS1, ribosome biogenesis factor"	Q14692	10	42782801-42834937	"Disease related genes, Predicted intracellular proteins"	"Ribosome biogenesis"		"Disease mutation, Ectodermal dysplasia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036589, HPA043081"	Uncertain		Enhanced	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA036589: AB_10601460, HPA043081: "
ENSG00000261236	BOP1	KIAA0124	"Block of proliferation 1"	Q14137	8	144262102-144291370	"Predicted intracellular proteins"	"Ribosome biogenesis, rRNA processing"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in all"		"PC-3: 66.9"	"Low cancer specificity"	"Detected in all"							"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA047869, HPA066764"	Approved		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA047869: , HPA066764: "
ENSG00000172331	BPGM		"Bisphosphoglycerate mutase"	P07738	7	134646808-134679813	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	Glycolysis	"Hydrolase, Isomerase"	"Congenital erythrocytosis, Disease mutation, Hereditary hemolytic anemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	5	"placenta: 184.7"	"Cell line enhanced"	"Detected in all"		"HDLM-2: 37.1;RT4: 59.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA016493, HPA028735"	Enhanced		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA016493: AB_1845414, HPA028735: AB_10600791"
ENSG00000136492	BRIP1	"BACH1, FANCJ, OF"	"BRCA1 interacting protein C-terminal helicase 1"	Q9BX63	17	61681266-61863521	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"DNA damage, DNA repair"	"Helicase, Hydrolase"	"Cancer-related genes, Disease mutation, Fanconi anemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 30.1"	"Cell line enhanced"	"Detected in many"		"MCF7: 41.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in many"	4	"B-cells: 2.2;granulocytes: 2.1;T-cells: 3.7"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA005474	Approved		Supported	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"HPA005474: AB_2667333"
ENSG00000113460	BRIX1	"BRIX, BXDC2, FLJ11100"	"BRX1, biogenesis of ribosomes"	Q8TDN6	5	34915376-34925996	"Plasma proteins, Predicted intracellular proteins"	"Ribosome biogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA039614			Supported	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA039614: AB_10963698"
ENSG00000148925	BTBD10	"GMRP-1, GMRP1, MGC13007"	"BTB domain containing 10"	Q9BSF8	11	13388001-13463297	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"							HPA046777	Approved		Supported	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA046777: "
ENSG00000071462	BUD23	"MERM1, MGC19709, MGC2022, MGC5140, PP3381, WBMT, WBSCR22"	"BUD23, rRNA methyltransferase and ribosome maturation factor"	O43709	7	73683025-73705161	"Predicted intracellular proteins"	"Ribosome biogenesis, rRNA processing, Transcription, Transcription regulation"	"Chromatin regulator, Methyltransferase, Transferase"	"Williams-Beuren syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in all"		"RPMI-8226: 112.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA052185	Approved		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA052185: "
ENSG00000112578	BYSL	Enp1	"Bystin like"	Q13895	6	41921188-41933046	"Predicted intracellular proteins"	"Ribosome biogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA031217, HPA031219"	Enhanced		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA031217: AB_10599488, HPA031219: AB_10601989"
ENSG00000179133	C10orf67	"bA215C7.4, C10orf115, LINC01552, MGC46732"	"Chromosome 10 open reading frame 67"	Q8IYJ2	10	23201916-23344845	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"fallopian tube: 7.3;pituitary gland: 9.0;testis: 13.8"	"Cell line enhanced"	"Detected in some"		"HaCaT: 5.2;SiHa: 8.4"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"T-reg: 4.2"	"Low lineage specificity"	"Detected in many"											"HPA038130, HPA038131"	Approved		Approved	"Nucleoplasm,Nucleoli,Nuclear speckles"		Nucleoplasm	"Nucleoli, Nuclear speckles"	"HPA038130: , HPA038131: AB_10670658"
ENSG00000175573	C11orf68	"BLES03, P5326"	"Chromosome 11 open reading frame 68"	Q9H3H3	11	65916808-65919117	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045938	Uncertain		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA045938: AB_10961633"
ENSG00000151131	C12orf45	MGC40397	"Chromosome 12 open reading frame 45"	Q8N5I9	12	104986310-105074197	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"blood: 82.3"	"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enriched"	"Detected in many"	4	"plasmacytoid DC: 82.3"	"Lineage enriched"	"Detected in all"	13	"dendritic cells: 82.3"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA038722	Uncertain		Approved	"Nucleoplasm,Nuclear membrane"		Nucleoplasm	"Nuclear membrane"	"HPA038722: AB_10673118"
ENSG00000179008	C14orf39	SIX6OS1	"Chromosome 14 open reading frame 39"	Q8N1H7	14	60396469-60515543	"Plasma proteins, Predicted intracellular proteins"	"DNA recombination, Meiosis"	"Developmental protein"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"pituitary gland: 16.9;salivary gland: 6.7;testis: 14.9"	"Cell line enhanced"	"Detected in some"		"HEL: 5.4;HSkMC: 4.2;MOLT-4: 20.4;RH-30: 5.6;U-2 OS: 11.5"	"Low cancer specificity"	"Detected in single"			"Region enhanced"	"Detected in single"		"hypothalamus: 1.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			HPA059518	Uncertain		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA059518: "
ENSG00000104979	C19orf53	"HSPC023, LYDG10"	"Chromosome 19 open reading frame 53"	Q9UNZ5	19	13774168-13778462	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA059928, HPA061291"	Approved		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA059928: , HPA061291: "
ENSG00000197223	C1D	"LRP1, Rrp47, SUN-CoR, SUNCOR"	"C1D nuclear receptor corepressor"	Q13901	2	68041130-68110948	"Predicted intracellular proteins"	"Apoptosis, rRNA processing, Transcription, Transcription regulation"	"DNA-binding, Repressor, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"							"HPA037413, HPA037588"	Approved		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA037413: , HPA037588: AB_10672907"
ENSG00000184208	C22orf46	"CTA-216E10.6, FLJ23584"	"Chromosome 22 open reading frame 46"	C9J442	22	41688939-41698136	"Predicted secreted proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"		"Tissue enhanced"	"Detected in all"		"brain: 19.8"	"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"							"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"							"Not detected"	"Not detected"			HPA052741	Uncertain		Approved	Nucleoplasm,Nucleoli	"Secreted - unknown location"	Nucleoplasm	Nucleoli	"HPA052741: "
ENSG00000284308	C2orf81	"hCG40743, LOC388963"	"Chromosome 2 open reading frame 81"		2	74414176-74421591	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"				"Tissue enhanced"	"Detected in many"		"fallopian tube: 17.9;testis: 20.0"	"Cell line enhanced"	"Detected in many"		"MCF7: 11.9;RPMI-8226: 11.3;SCLC-21H: 14.8;SH-SY5Y: 16.2"									"Cell type enhanced"	"Detected in many"		"plasmacytoid DC: 13.2"	"Low lineage specificity"	"Detected in many"											"HPA049564, HPA054835"	Enhanced		Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA049564: , HPA054835: "
ENSG00000146540	C7orf50	"MGC11257, YCR016W"	"Chromosome 7 open reading frame 50"	Q9BRJ6	7	996986-1138260	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA052281	Approved		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA052281: "
ENSG00000185015	CA13	"CAXIII, FLJ37995, MGC59868"	"Carbonic anhydrase 13"	Q8N1Q1	8	85220587-85284073	"Enzymes, Predicted intracellular proteins"		Lyase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 56.7"	"Cell line enhanced"	"Detected in many"		"HEL: 16.1;RPTEC TERT1: 8.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"Low cell type specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA024689, CAB025567"	Enhanced		Uncertain	Nucleoplasm,Nucleoli,Vesicles		Nucleoli	"Nucleoplasm, Vesicles"	"CAB025567: , HPA024689: AB_1846004"
ENSG00000158966	CACHD1	"KIAA1573, VWCD1"	"Cache domain containing 1"		1	64470792-64693058	"Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"				"Low tissue specificity"	"Detected in many"			"Cell line enhanced"	"Detected in many"		"AF22: 21.6;NTERA-2: 29.6;U-2197: 15.2"	"Low cancer specificity"	"Detected in all"							"Group enriched"	"Detected in some"	11	"naive CD4 T-cell: 1.1;naive CD8 T-cell: 1.0"	"Lineage enriched"	"Detected in single"	11	"T-cells: 1.1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA017202	Uncertain		Uncertain	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA017202: AB_1852423"
